Date,Open,High,Low,Close,Adj Close,Volume
2008-09-02,29.709999,29.750000,29.700001,29.709999,27.957479,117300
2008-09-03,29.250000,29.250000,28.000000,29.250000,27.524618,87400
2008-09-04,28.500000,28.809999,28.250000,28.500000,26.818857,132400
2008-09-05,28.059999,28.309999,28.000000,28.059999,26.404812,65000
2008-09-08,28.620001,28.990000,28.070000,28.620001,26.931780,186600
2008-09-09,27.860001,28.959999,27.750000,27.860001,26.216612,200300
2008-09-10,27.209999,27.850000,27.000000,27.209999,25.604952,151200
2008-09-11,26.530001,27.010000,26.500000,26.530001,24.965063,175500
2008-09-12,26.290001,26.700001,26.260000,26.290001,24.739223,103200
2008-09-15,26.000000,26.540001,25.700001,26.000000,24.466322,66300
2008-09-17,24.809999,26.990000,24.750000,24.809999,23.346523,0
2008-09-18,23.940001,24.809999,22.049999,23.940001,22.527843,484800
2008-09-19,22.750000,24.959999,22.160000,22.750000,21.408031,0
2008-09-22,22.549999,22.990000,22.500000,22.549999,21.219833,113400
2008-09-23,23.290001,23.500000,22.059999,23.290001,21.916185,489000
2008-09-24,24.379999,24.660000,23.379999,24.379999,22.941883,527100
2008-09-25,24.200001,24.559999,23.730000,24.200001,22.772501,65200
2008-09-26,23.410000,24.379999,23.410000,23.410000,22.029100,55600
2008-09-29,22.200001,23.190001,22.100000,22.200001,20.890480,82900
2008-09-30,22.100000,22.500000,22.090000,22.100000,20.796379,773500
2008-10-01,22.129999,22.360001,22.000000,22.129999,20.824610,142500
2008-10-02,22.040001,22.200001,22.000000,22.040001,20.739916,170900
2008-10-03,21.600000,22.170000,21.600000,21.600000,20.325869,164700
2008-10-06,19.629999,21.500000,18.480000,19.629999,18.472075,0
2008-10-07,19.219999,20.000000,18.700001,19.219999,18.086262,298000
2008-10-08,18.750000,20.000000,18.500000,18.750000,17.643988,184000
2008-10-09,16.379999,18.750000,16.000000,16.379999,15.413785,0
2008-10-10,14.300000,14.800000,13.990000,14.300000,13.456480,161800
2008-10-13,14.300000,14.300000,14.300000,14.300000,13.456480,0
2008-10-14,14.300000,14.300000,14.300000,14.300000,13.456480,0
2008-10-15,14.300000,14.300000,14.300000,14.300000,13.456480,0
2008-10-16,14.300000,14.300000,14.300000,14.300000,13.456480,0
2008-10-17,14.300000,14.300000,14.300000,14.300000,13.456480,0
2008-10-20,14.300000,14.300000,14.300000,14.300000,13.456480,0
2008-10-21,14.300000,14.300000,14.300000,14.300000,13.456480,0
2008-10-22,14.300000,14.300000,14.300000,14.300000,13.456480,0
2008-10-23,14.300000,14.300000,14.300000,14.300000,13.456480,0
2008-10-24,14.300000,14.300000,14.300000,14.300000,13.456480,0
2008-10-27,14.300000,14.300000,14.300000,14.300000,13.456480,0
2008-10-28,14.300000,14.300000,14.300000,14.300000,13.456480,0
2008-10-29,5.850000,8.000000,4.250000,5.850000,5.504923,0
2008-10-30,7.570000,7.620000,6.000000,7.570000,7.123465,0
2008-10-31,8.380000,8.510000,7.400000,8.380000,7.885685,0
2008-11-03,8.730000,9.210000,8.260000,8.730000,8.215040,2056000
2008-11-04,8.610000,9.100000,8.470000,8.610000,8.102118,1631400
2008-11-05,7.890000,8.610000,7.800000,7.890000,7.424589,0
2008-11-06,7.410000,7.750000,7.230000,7.410000,6.972903,927700
2008-11-07,7.400000,7.650000,7.160000,7.400000,6.963494,2267200
2008-11-10,7.010000,7.700000,7.000000,7.010000,6.596498,0
2008-11-11,6.520000,7.000000,6.200000,6.520000,6.135402,0
2008-11-12,6.260000,6.600000,6.250000,6.260000,5.890739,958300
2008-11-13,6.510000,6.700000,5.910000,6.510000,6.125993,2031600
2008-11-14,6.780000,7.350000,6.700000,6.780000,6.380066,1770900
